NORM,COLUMNS,VAR,RMSE,AREA,MODEL,HYPERTUNE
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",zmicroos,-256.4871549606323,"(200, 150)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",zmesoos,-234.76433753967285,"(200, 150)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']",rsntds,-244.97480392456055,"(200, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,['A'],no3,0.43654688633978367,"(200, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B']",po4,0.3824971616268158,"(200, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C']",si,0.3755119629204273,"(200, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D']",thetao,0.37335141096264124,"(200, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E']",mlotst,0.3535291878506541,"(200, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F']",dfe,0.3787257941439748,"(200, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",zmicroos,0.35557758528739214,"(200, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",zmesoos,0.3547249361872673,"(200, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']",rsntds,0.345736974850297,"(200, 150)",LSTM,"50,32,0.1,1,1"
normalized,['A'],no3,-74.8401939868927,"(250, 200)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B']",po4,-73.12093377113342,"(250, 200)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C']",si,-73.0847418308258,"(250, 200)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D']",thetao,-74.86501932144165,"(250, 200)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E']",mlotst,-69.93066072463989,"(250, 200)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F']",dfe,-75.47090649604797,"(250, 200)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",zmicroos,-66.9759213924408,"(250, 200)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",zmesoos,-80.52150011062622,"(250, 200)",LSTM,"50,32,0.1,1,1"
